node_id,produced,capacity
p0,0.0,6.912239967510096
p1,0.0,3.492142530094948
p2,0.0,42.926316012710274
p3,0.0,21.08862500323504
p4,0.0,5.670765510101367
p5,45.95750287215579,45.95750287215579
p6,0.0,33.02870770454897
p7,0.0,34.76224964302064
p8,0.0,45.50203750860973
p9,0.0,26.802860518347174
p10,0.0,13.937036161513715
p11,0.0,58.92377104933285
p12,0.0,32.644714833207985
p13,0.0,8.967281701090391
p14,0.0,10.203656495493263
p15,0.0,8.05201785918562
p16,0.0,18.392211363177175
p17,0.0,6.374990969739997
p18,0.0,8.134666330980957
p19,0.0,57.76234036115129
p20,0.0,27.54367760849592
p21,0.0,34.36273442922805
p22,0.0,8.407552095681863
p23,5.290818679501052,5.290818679501052
p24,0.0,61.338290251577796
p25,0.0,4.007038293405064
p26,34.6301220618099,34.6301220618099
p27,0.0,12.633873025864762
p28,0.0,4.81195669241884
p30,0.0,7.509379264244925
p31,0.0,22.09310216460117
p32,0.0,7.075930777107586
p33,0.0,16.447562740700466
p34,0.0,17.29823060769772
p35,3.2711106432539743,3.2711106432539743
p36,0.0,44.4261623969798
p37,5.966127792867484,6.511834039116507
p38,0.0,8.78715254552492
p39,0.0,15.485949653265623
p40,0.0,13.115341609862284
p41,0.0,9.085365613994782
p42,8.460089655492341,10.381155882439561
p43,0.0,26.135026365102917
p44,3.460020531205808,3.460020531205808
p45,0.0,57.62379119692072
p46,0.0,7.607216202902074
p47,0.0,16.796273829725216
p48,0.0,11.522546606420738
p49,0.0,8.641554676507834
