node_id,Location,lat,lon,region,industry,type,landmass
oft_ship41,Boston,42.35,-71.05,NA East Coast,Shipping,offtake,NorthAmerica
oft_ship42,Montreal,45.516667,-73.54999999999998,NA East Coast,Shipping,offtake,NorthAmerica
oft_ship43,Gioia Tauro,38.444,15.89,Mediterranean,Shipping,offtake,Eurasia_Africa
oft_ship44,Mikawa,34.716667,137.3,Japan & South Korea,Shipping,offtake,Japan
oft_ship45,Onomichi-Itozaki,34.383333,133.166667,Japan & South Korea,Shipping,offtake,Japan
oft_ship46,Messina,38.2,15.566667,Mediterranean,Shipping,offtake,Sicily
oft_ship47,Al Iskandariyh (Alexandria),31.166667,29.833333,Mediterranean,Shipping,offtake,Eurasia_Africa
oft_ship48,Damietta,31.483333,31.75,Mediterranean,Shipping,offtake,Eurasia_Africa
oft_ship49,Port Of Le Havre,49.483333,0.116667,Western Europe,Shipping,offtake,Eurasia_Africa
oft_ship50,Nagoya Ko,35.066667,136.866667,Japan & South Korea,Shipping,offtake,Japan
oft_ship51,Muqdisho,2.033333,45.35,Red Sea,Shipping,offtake,Eurasia_Africa
oft_ship52,Lagos,6.4,3.4,West Africa,Shipping,offtake,Eurasia_Africa
oft_ship53,Rade De Brest,48.383333,-4.5,Western Europe,Shipping,offtake,Eurasia_Africa
oft_ship54,Lagos,37.1,-8.616667,Western Europe,Shipping,offtake,Eurasia_Africa
oft_ship55,Wakayama-Shimotsu Ko,34.2,135.133333,Japan & South Korea,Shipping,offtake,Japan
oft_ship56,Split,43.5,16.433333,Mediterranean,Shipping,offtake,Eurasia_Africa
oft_ship57,Tangier-Mediterranean,35.9,-5.516667,Mediterranean,Shipping,offtake,Eurasia_Africa
oft_ship58,Tarragona,41.1,1.233333,Mediterranean,Shipping,offtake,Eurasia_Africa
oft_ship59,Tokyo Ko,35.666667,139.75,Japan & South Korea,Shipping,offtake,Japan
oft_ship60,Port Klang,3.0,101.4,South-east Asia,Shipping,offtake,Eurasia_Africa
oft_ship61,Tianjin Xin Gang,38.966667,117.833333,China & Hong Kong,Shipping,offtake,Eurasia_Africa
oft_ship62,Wakamatsu Ko,33.9,130.816667,Japan & South Korea,Shipping,offtake,Japan
oft_ship63,Osaka,34.65,135.433333,Japan & South Korea,Shipping,offtake,Japan
oft_ship64,Bur Sa'id,31.266667,32.3,Mediterranean,Shipping,offtake,Eurasia_Africa
oft_ship65,Calcutta,22.55,88.33333299999998,Middle East & India,Shipping,offtake,Eurasia_Africa
oft_ship66,Chennai (Madras),13.1,80.29999999999998,Middle East & India,Shipping,offtake,Eurasia_Africa
oft_ship67,Mumbai (Bombay),18.966667,72.866667,Middle East & India,Shipping,offtake,Eurasia_Africa
oft_ship68,Kattupalli Port,13.306944444,80.35222222199998,Middle East & India,Shipping,offtake,Eurasia_Africa
oft_ship69,Puerto La Cruz,10.25,-64.633333,N Latin America,Shipping,offtake,SouthAmerica
oft_ship70,Bayrut,33.9,35.5,Mediterranean,Shipping,offtake,Eurasia_Africa
oft_ship71,Baniyas,35.188333333,35.943333333,Mediterranean,Shipping,offtake,Eurasia_Africa
oft_ship72,Puerto Guantanamo,19.983333,-75.13333299999998,N Latin America,Shipping,offtake,Cuba
oft_ship73,Cienfuegos,22.15,-80.45,N Latin America,Shipping,offtake,Cuba
oft_ship74,Ain Sukhna Terminal,29.583333,32.366667,Red Sea,Shipping,offtake,Eurasia_Africa
oft_ship75,Abidjan,5.25,-4.016667,West Africa,Shipping,offtake,Eurasia_Africa
oft_ship76,Mina Jabal Ali,25.016667,55.05,Middle East & India,Shipping,offtake,Eurasia_Africa
oft_ship77,Nuevitas Bay,21.55,-77.266667,N Latin America,Shipping,offtake,Cuba
oft_ship78,Los Angeles,33.75,-118.25,NA West Coast,Shipping,offtake,NorthAmerica
oft_ship79,Wellington,-41.283333,174.783333,East Australia,Shipping,offtake,NewZealand
oft_ship80,Cape Town,-33.916667,18.416667,East Africa,Shipping,offtake,Eurasia_Africa
oft_ship81,Novorossiysk,44.716667,37.783333,Mediterranean,Shipping,offtake,Eurasia_Africa
oft_ship82,Odesa,46.483333,30.733333,Mediterranean,Shipping,offtake,Eurasia_Africa
oft_ship83,Illichivsk,46.3,30.65,Mediterranean,Shipping,offtake,Eurasia_Africa
oft_ship84,Istanbul,41.016667,28.966667,Mediterranean,Shipping,offtake,Eurasia_Africa
oft_ship85,Dundee,56.466667,-2.95,Western Europe,Shipping,offtake,GreatBritain
oft_ship86,Antwerpen,51.216667,4.4,Western Europe,Shipping,offtake,Eurasia_Africa
oft_ship87,Amsterdam,52.366667,4.9,Western Europe,Shipping,offtake,Eurasia_Africa
oft_ship88,Bremen,53.133333,8.766667,Western Europe,Shipping,offtake,Eurasia_Africa
oft_ship89,Bremerhaven,53.533333,8.583333,Western Europe,Shipping,offtake,Eurasia_Africa
oft_ship90,Hamburg,53.55,9.933333,Western Europe,Shipping,offtake,Eurasia_Africa
oft_ship91,Malmo,55.623333333,12.984722222,Nordics,Shipping,offtake,Eurasia_Africa
oft_ship92,Goteborg,57.709722222,11.954722222,Nordics,Shipping,offtake,Eurasia_Africa
oft_ship93,Bordeaux,44.866667,-0.566667,Western Europe,Shipping,offtake,Eurasia_Africa
oft_ship94,Manchester,53.483333,-2.266667,Western Europe,Shipping,offtake,GreatBritain
oft_ship95,Liverpool,53.416667,-3.0,Western Europe,Shipping,offtake,GreatBritain
oft_ship96,Halifax,44.65,-63.583333,NA East Coast,Shipping,offtake,NorthAmerica
oft_ship97,Kiel,54.316667,10.133333,Western Europe,Shipping,offtake,Eurasia_Africa
oft_ship98,Gdansk,54.35,18.666667,Nordics,Shipping,offtake,Eurasia_Africa
