node_id,produced,capacity
p0,0.18659057449482247,0.18659057449482247
p1,0.021168291816115223,0.021168291816115223
p2,0.9197429942020505,0.9197429942020505
p3,0.30537722710899323,0.30537722710899323
p4,0.016531162459871865,0.016531162459871865
p5,0.1544048761831252,0.1544048761831252
p7,1.335042916253854,1.335042916253854
p8,0.285979090532314,0.285979090532314
p10,1.031958229718731,1.031958229718731
p11,0.20783123895927427,0.20783123895927427
p13,0.013377208115613985,0.013377208115613985
p14,0.010862769355532884,0.010862769355532884
p15,0.19185631674276105,0.19185631674276105
p16,0.02923587976850701,0.02923587976850701
p17,0.02030876018233164,0.02030876018233164
p18,0.23837424236822702,0.23837424236822702
p19,0.21241540863971667,0.21241540863971667
p20,0.03381990985791634,0.03381990985791634
p21,0.431624279043544,0.431624279043544
p22,0.09775792997286561,0.09775792997286561
p23,0.06515161958767343,0.06515161958767343
p24,0.12140983524710167,0.12140983524710167
p25,0.14940553568200718,0.14940553568200718
p28,0.46167394129545,0.46167394129545
p29,0.018842835520621354,0.018842835520621354
p30,0.008552468941576746,0.008552468941576746
p32,0.033041380316724815,0.033041380316724815
p33,0.015406722665655802,0.015406722665655802
p34,0.0395328445833079,0.0395328445833079
p35,0.09315623168930247,0.09315623168930247
p37,0.21759354819702026,0.21759354819702026
p38,0.009626969429025974,0.009626969429025974
p39,0.028978046586954024,0.028978046586954024
p40,0.06481765204271082,0.06481765204271082
p41,0.05953813495799779,0.05953813495799779
p42,0.06791670684747071,0.06791670684747071
p43,0.06502108607560451,0.06502108607560451
p45,0.0980291623003171,0.0980291623003171
p47,0.5701216568213014,0.5701216568213014
p49,0.06437479228637508,0.06437479228637508
