node_id,produced,capacity
p0,0.0,11.750807944767162
p1,0.0,5.936642301161411
p2,0.0,72.97473722160747
p3,0.0,35.85066250549957
p4,0.0,9.640301367172324
p5,0.0,78.12775488266485
p6,0.0,56.14880309773325
p7,0.0,59.09582439313508
p8,0.0,77.35346376463654
p9,0.0,45.564862881190194
p10,0.0,23.692961474573316
p11,0.0,100.17041078386585
p12,0.0,55.49601521645357
p13,0.0,15.244378891853664
p14,0.0,17.346216042338547
p15,0.0,13.688430360615554
p16,0.0,31.266759317401196
p17,0.0,10.837484648557995
p18,0.0,13.828932762667627
p19,0.0,98.1959786139572
p20,0.0,46.82425193444306
p21,0.0,58.41664852968768
p22,0.0,14.292838562659167
p23,0.0,8.994391755151788
p24,0.0,104.27509342768225
p25,0.0,6.811965098788609
p26,0.0,58.871207505076825
p27,0.0,21.477584143970095
p28,0.0,8.180326377112028
p30,0.0,12.765944749216372
p31,0.0,37.55827367982199
p32,0.0,12.029082321082896
p33,0.0,27.960856659190792
p34,0.0,29.406992033086127
p35,0.0,5.560888093531756
p36,0.0,75.52447607486566
p37,0.0,11.07011786649806
p38,0.0,14.938159327392365
p39,0.0,26.326114410551558
p40,0.0,22.296080736765884
p41,0.0,15.445121543791128
p42,0.0,17.647965000147252
p43,0.0,44.429544820674955
p44,0.0,5.882034903049873
p45,0.0,97.96044503476523
p46,0.0,12.932267544933525
p47,0.0,28.553665510532866
p48,0.0,19.588329230915253
p49,0.0,14.690642950063317
