node_id,produced,capacity
p0,0.0,9.677135954514133
p1,0.0,4.888999542132926
p2,0.0,60.09684241779438
p3,0.0,29.524075004529056
p4,0.0,7.939071714141913
p5,37.197782119773834,64.3405040210181
p6,0.0,46.24019078636856
p7,0.0,48.66714950022889
p8,0.0,63.70285251205362
p9,0.0,37.52400472568604
p10,0.0,19.5118506261192
p11,0.0,82.49327946906598
p12,0.0,45.70260076649117
p13,0.0,12.554194381526546
p14,0.0,14.285119093690566
p15,0.0,11.272825002859866
p16,0.0,25.749095908448044
p17,0.0,8.924987357635995
p18,0.0,11.38853286337334
p19,0.0,80.8672765056118
p20,0.0,38.561148651894285
p21,0.0,48.107828200919265
p22,0.0,11.770572933954607
p23,0.0,7.407146151301472
p24,0.0,85.87360635220891
p25,0.0,5.6098536107670895
p26,48.48217088653386,48.48217088653386
p27,0.0,17.687422236210665
p28,0.0,6.736739369386376
p30,0.0,10.513130969942894
p31,0.0,30.930343030441637
p32,0.0,9.90630308795062
p33,0.0,23.02658783698065
p34,0.0,24.21752285077681
p35,4.579554900555563,4.579554900555563
p36,0.0,62.19662735577171
p37,5.966127792867484,9.11656765476311
p38,0.0,12.302013563734887
p39,0.0,21.68032951457187
p40,0.0,18.361478253807196
p41,0.0,12.719511859592693
p42,5.966127792867484,14.533618235415384
p43,0.0,36.58903691114408
p44,4.84402874368813,4.84402874368813
p45,0.0,80.673307675689
p46,0.0,10.650102684062903
p47,0.0,23.5147833616153
p48,0.0,16.13156524898903
p49,0.0,12.098176547110967
