node_id,demand,delivered,unmet,served_pct
oft_steel1,104.93326332329876,0.0,104.93326332329876,0.0
oft_steel2,104.93326332329876,0.0,104.93326332329876,0.0
oft_steel3,104.93326332329876,0.0,104.93326332329876,0.0
oft_steel4,24.690179605482058,0.0,24.690179605482058,0.0
oft_steel5,24.690179605482058,0.0,24.690179605482058,0.0
oft_steel6,24.690179605482058,0.0,24.690179605482058,0.0
oft_steel7,24.690179605482058,0.0,24.690179605482058,0.0
oft_steel8,33.94899695753783,0.0,33.94899695753783,0.0
oft_steel9,33.94899695753783,0.0,33.94899695753783,0.0
oft_steel10,15.431362253426286,0.0,15.431362253426286,0.0
oft_steel11,15.431362253426286,0.0,15.431362253426286,0.0
oft_steel12,12.345089802741029,0.0,12.345089802741029,0.0
