node_id,produced,capacity
p0,0.05529791974008076,0.05529791974008076
p2,0.3434105281016822,0.3434105281016822
p3,0.16870900002588032,0.16870900002588032
p4,0.045366124080810935,0.045366124080810935
p5,0.3676600229772463,0.3676600229772463
p6,0.2642296616363918,0.2642296616363918
p7,0.2780979971441651,0.2780979971441651
p8,0.36401630006887786,0.36401630006887786
p9,0.2144228841467774,0.2144228841467774
p10,0.11149628929210972,0.11149628929210972
p11,0.4713901683946628,0.4713901683946628
p12,0.2611577186656639,0.2611577186656639
p13,0.07173825360872313,0.07173825360872313
p14,0.0816292519639461,0.0816292519639461
p15,0.06441614287348496,0.06441614287348496
p16,0.1471376909054174,0.1471376909054174
p17,0.05099992775791998,0.05099992775791998
p18,0.06507733064784765,0.06507733064784765
p19,0.46209872288921033,0.46209872288921033
p20,0.22034942086796735,0.22034942086796735
p21,0.2749018754338244,0.2749018754338244
p22,0.06726041676545491,0.06726041676545491
p23,0.042326549436008415,0.042326549436008415
p24,0.4907063220126224,0.4907063220126224
p26,0.2770409764944792,0.2770409764944792
p27,0.1010709842069181,0.1010709842069181
p28,0.03849565353935072,0.03849565353935072
p30,0.0600750341139594,0.0600750341139594
p31,0.17674481731680936,0.17674481731680936
p32,0.05660744621686069,0.05660744621686069
p33,0.13158050192560372,0.13158050192560372
p34,0.13838584486158179,0.13838584486158179
p35,0.026168885146031794,0.026168885146031794
p36,0.3554092991758384,0.3554092991758384
p37,0.05209467231293206,0.05209467231293206
p38,0.07029722036419936,0.07029722036419936
p39,0.12388759722612498,0.12388759722612498
p40,0.10492273287889828,0.10492273287889828
p41,0.07268292491195825,0.07268292491195825
p42,0.0830492470595165,0.0830492470595165
p43,0.20908021092082332,0.20908021092082332
p44,0.027680164249646463,0.027680164249646463
p45,0.4609903295753658,0.4609903295753658
p46,0.06085772962321659,0.06085772962321659
p47,0.13437019063780173,0.13437019063780173
p48,0.0921803728513659,0.0921803728513659
p49,0.06913243741206267,0.06913243741206267
