id,name,iso3,geometry,lat,lon,export,import,trans,throughput
port1188,Shanghai_China,CHN,POINT (121.6441968359984 31.19179536115051),31.191795361150508,121.64419683599843,326674425936.3319,165316641856.76608,203801895574.61322,695792963367.7112
port1414,Yiantian_China,CHN,POINT (114.2935157612254 22.58487742159139),22.58487742159139,114.29351576122542,237302599099.6858,48627790094.00156,22008139341.40301,307938528535.0904
port1065,Pusan_South Korea,KOR,POINT (128.9385952279162 35.08955066965682),35.089550669656816,128.9385952279162,233627790973.79333,133290809766.47688,273439355150.20038,640357955890.4706
port57,Antwerp_Belgium,BEL,POINT (4.317802310666957 51.27935494428036),51.27935494428036,4.3178023106669565,230883459331.64386,139623487863.31546,54949354163.12295,425456301358.0823
port541,Kao Hsiung_Taiwan,TWN,POINT (120.322684663521 22.56152780232152),22.561527802321525,120.322684663521,176489126839.84842,94310273734.42093,12238938276.478298,283038338850.7476
port1201,Singapore_Singapore,SGP,POINT (103.7074815648619 1.271989256505266),1.2719892565052655,103.70748156486187,164484170790.93643,196410725127.53226,872434167485.0278,1233329063403.4966
port1114,Rotterdam_Netherlands,NLD,POINT (4.215144966523495 51.92228120839818),51.922281208398175,4.2151449665234955,145184416053.96582,165394745570.20428,68362645936.97694,378941807561.14703
port526,Ju Aymah LPG Terminal_Saudi Arabia,SAU,POINT (49.97698013064791 26.80319051351993),26.803190513519926,49.97698013064791,143244174769.00934,580183475.6855623,1820508479.7447658,145644866724.43967
port824,Ningbo_China,CHN,POINT (121.881840793681 29.92076897028836),29.92076897028836,121.88184079368102,128508259932.02701,90948367175.57037,23663216893.256603,243119844000.85397
port168,Bremerhaven_Germany,DEU,POINT (8.555056667114231 53.54944124151818),53.54944124151818,8.555056667114231,105971834626.77643,54695781148.74308,38737169239.571014,199404785015.0905
port111,Bangkok_Thailand,THA,POINT (100.5725844237049 13.68350932327134),13.68350932327134,100.57258442370488,94645656089.23848,45719126356.09771,334996678.8119559,140699779124.14813
port1189,Shekou_China,CHN,POINT (113.8103376645158 22.58146761572697),22.581467615726968,113.81033766451579,86731221801.99713,53539705882.09834,43747597740.491585,184018525424.58704
port581,Kobe_Japan,JPN,POINT (135.2293270523067 34.67293988896983),34.67293988896983,135.22932705230667,86286434887.6943,52383927495.1234,34699336714.571175,173369699097.38885
port1069,Qingdao Gang_China,CHN,POINT (120.2226180687469 36.02677905377737),36.026779053777375,120.22261806874693,83731156373.82559,92889877505.62454,51235702498.82117,227856736378.2713
port474,Hong Kong_Hong Kong,HKG,POINT (114.0966519405133 22.33510926282908),22.335109262829082,114.09665194051334,74741205968.32654,146512858678.43054,38879320593.03271,260133385239.7898
port1424,Zeebrugge_Belgium,BEL,POINT (3.212225359193582 51.32626774343623),51.32626774343623,3.212225359193582,72956770734.90367,36398808681.47072,8756258847.122196,118111838263.49658
port664,Los Angeles_U.S.A.,USA,POINT (-118.2437881337471 33.7556919343555),33.755691934355504,-118.24378813374709,70880254787.6487,332603851638.9129,55419729490.75715,458903835917.3187
port481,Houston_U.S.A.,USA,POINT (-95.13978774329904 29.72023114282469),29.720231142824687,-95.13978774329904,69695441090.95078,84443181600.81624,11369354971.600004,165507977663.36703
port446,Hamburg_Germany,DEU,POINT (9.964294337690003 53.51640055798953),53.51640055798953,9.964294337690003,69611068482.62256,65508392071.22536,13392168214.51178,148511628768.35968
port833,Novorossiysk_Russia,RUS,POINT (37.80872150232945 44.72345597849215),44.72345597849215,37.80872150232945,66847094530.18132,8385218097.369093,1937086013.2731445,77169398640.82356
port1417,Yokohama Ko_Japan,JPN,POINT (139.6688122927324 35.42755553344148),35.427555533441485,139.6688122927324,66023926966.80972,22977918701.990417,89559625962.28606,178561471631.08618
port1350,Vancouver_Canada,CAN,POINT (-123.0289043972785 49.289963992324),49.289963992324004,-123.0289043972785,62793316115.74524,15288804065.270634,5493182988.678593,83575303169.69446
port815,New York-New Jersey_U.S.A.,USA,POINT (-74.17942126290532 40.63298387254996),40.63298387254996,-74.17942126290532,62564189061.505806,202636423469.2551,55091999732.43615,320292612263.197
port960,Port Klang_Malaysia,MYS,POINT (101.3403063269839 2.972594826366589),2.972594826366589,101.34030632698394,61004328246.75902,69961658585.02684,42857181319.28789,173823168151.07373
port395,Gioia Tauro_Italy,ITA,POINT (15.91363921161891 38.463398776609),38.463398776609,15.913639211618914,54417142858.852356,54655624729.97318,21851725680.717876,130924493269.54341
port776,Mumbai (bonbay)_India,IND,POINT (72.93965039427164 18.91732275654548),18.917322756545484,72.93965039427164,50356842343.94684,34462320616.02639,24738563257.33576,109557726217.30899
port262,Cork_Ireland,IRL,POINT (-8.360436822326843 51.87249836526492),51.87249836526492,-8.360436822326843,47372336201.21496,16896935438.976746,1779733728.022647,66049005368.21435
