id,scenario,name,iso3,Continent_Code,vessel_type_main,throughput_factor,Fuel_tons_route,Fuel_tons_route_slow,Fuel_tons_route_future,Fuel_tons_route_slow_future
port0,SSP1-RCP2.6-Multi,Abbot Point_Australia,AUS,OC,Dry bulk,0.702600173179422,208857.75547552266,208857.75547552266,146743.4951669676,146743.4951669676
port0,SSP1-RCP2.6-Reg,Abbot Point_Australia,AUS,OC,Dry bulk,0.7224152359382322,208857.75547552266,208857.75547552266,150882.0246993793,150882.0246993793
port0,SSP1-RCP4.5-Multi,Abbot Point_Australia,AUS,OC,Dry bulk,0.9342147928214832,208857.75547552266,208857.75547552266,195118.0047607254,195118.0047607254
port0,SSP1-RCP4.5-Reg,Abbot Point_Australia,AUS,OC,Dry bulk,0.959389269359036,208857.75547552266,208857.75547552266,200375.8894256299,200375.8894256299
port0,SSP2-RCP2.6-Multi,Abbot Point_Australia,AUS,OC,Dry bulk,0.6891154778413597,208857.75547552266,208857.75547552266,143927.11196538867,143927.11196538867
port0,SSP2-RCP2.6-Reg,Abbot Point_Australia,AUS,OC,Dry bulk,0.7086210236520993,208857.75547552266,208857.75547552266,148000.99648274473,148000.99648274473
port0,SSP2-RCP4.5-Multi,Abbot Point_Australia,AUS,OC,Dry bulk,0.9048667663007365,208857.75547552266,208857.75547552266,188988.4418139661,188988.4418139661
port0,SSP2-RCP4.5-Reg,Abbot Point_Australia,AUS,OC,Dry bulk,0.9291568388532729,208857.75547552266,208857.75547552266,194061.61184762648,194061.61184762648
port0,SSP2-RCP8.5-Multi,Abbot Point_Australia,AUS,OC,Dry bulk,1.1908626603050265,208857.75547552266,208857.75547552266,248720.90231091762,248720.90231091762
port0,SSP2-RCP8.5-Reg,Abbot Point_Australia,AUS,OC,Dry bulk,1.2214950124920378,208857.75547552266,208857.75547552266,255118.70663363254,255118.70663363254
port0,SSP5-RCP4.5-Multi,Abbot Point_Australia,AUS,OC,Dry bulk,1.427654266437893,208857.75547552266,208857.75547552266,298176.6656832721,298176.6656832721
port0,SSP5-RCP4.5-Reg,Abbot Point_Australia,AUS,OC,Dry bulk,1.4655705549613638,208857.75547552266,208857.75547552266,306095.77660024655,306095.77660024655
port0,SSP5-RCP8.5-Multi,Abbot Point_Australia,AUS,OC,Dry bulk,1.8722326606488089,208857.75547552266,208857.75547552266,391030.31123107614,391030.31123107614
port0,SSP5-RCP8.5-Reg,Abbot Point_Australia,AUS,OC,Dry bulk,1.9198741973852653,208857.75547552266,208857.75547552266,400980.61566125706,400980.61566125706
port0,SSP1-RCP2.6-Multi,Abbot Point_Australia,AUS,OC,General cargo,0.8411422050965636,4107.164098297894,4107.164098297894,3454.70906633573,3454.70906633573
port0,SSP1-RCP2.6-Reg,Abbot Point_Australia,AUS,OC,General cargo,0.863634246733255,4107.164098297894,4107.164098297894,3547.0875722433702,3547.0875722433702
port0,SSP1-RCP4.5-Multi,Abbot Point_Australia,AUS,OC,General cargo,1.0337491548144577,4107.164098297894,4107.164098297894,4245.777415299733,4245.777415299733
port0,SSP1-RCP4.5-Reg,Abbot Point_Australia,AUS,OC,General cargo,1.0596834707304608,4107.164098297894,4107.164098297894,4352.293906543856,4352.293906543856
port0,SSP2-RCP2.6-Multi,Abbot Point_Australia,AUS,OC,General cargo,0.875748984075631,4107.164098297894,4107.164098297894,3596.8447865162857,3596.8447865162857
