Index,LCOA,Latitude,Longitude,Production,Max_capacity,Electricity_Cost_Frac
-55_-71_1000000.0,208.74,-55,-71,1000000,0,0.397222778
-55_-70_1000000.0,296.19,-55,-70,1000000,0,0.406084115
-55_-69_1000000.0,387.03,-55,-69,1000000,0.001226402,0.412865157
-55_-68_1000000.0,385.94,-55,-68,1000000,0.028916669,0.441739841
-55_-67_1000000.0,314.3,-55,-67,1000000,0.032435282,0.435241156
-54_-72_1000000.0,267.18,-54,-72,1000000,0.008798897,0.421152843
-54_-70_1000000.0,289.18,-54,-70,1000000,0.020619192,0.421130636
-54_-69_1000000.0,284.06,-54,-69,1000000,0.085917556,0.396494378
-54_-68_1000000.0,266.7,-54,-68,1000000,0.085922404,0.404567283
-53_-74_1000000.0,205.61,-53,-74,1000000,0,0.40413395
-53_-73_1000000.0,392.22,-53,-73,1000000,0.000803906,0.461593535
-53_-72_1000000.0,336.76,-53,-72,1000000,0.031442111,0.412158641
-53_-71_1000000.0,250.74,-53,-71,1000000,0.062925466,0.407964515
-53_-70_1000000.0,232.26,-53,-70,1000000,0.092759145,0.41075869
-53_-69_1000000.0,227.62,-53,-69,1000000,0.128365405,0.405290334
-52_-75_1000000.0,204.24,-52,-75,1000000,0,0.399594444
-52_-74_1000000.0,206.13,-52,-74,1000000,0.001628947,0.399960052
-52_-73_1000000.0,373.08,-52,-73,1000000,0.014396536,0.421560155
-52_-72_1000000.0,294.88,-52,-72,1000000,0.098183324,0.418052213
-52_-71_1000000.0,251.41,-52,-71,1000000,0.142474084,0.39979992
-52_-70_1000000.0,245.87,-52,-70,1000000,0.143429129,0.40169093
-52_-69_1000000.0,235.09,-52,-69,1000000,0.085675788,0.411731888
-52_-60_1000000.0,228.66,-52,-60,1000000,0.065171557,0.400351673
-52_-59_1000000.0,224.87,-52,-59,1000000,0.072363003,0.397565459
-51_-75_1000000.0,233.77,-51,-75,1000000,0,0.409685112
-51_-74_1000000.0,378.71,-51,-74,1000000,0.00052279,0.474027588
-51_-73_1000000.0,348,-51,-73,1000000,0.033931981,0.379916067
-51_-72_1000000.0,301.62,-51,-72,1000000,0.603439644,0.342641354
-51_-71_1000000.0,287.72,-51,-71,1000000,0.369847242,0.388122766
-51_-70_1000000.0,253.25,-51,-70,1000000,0.289969657,0.405489043
-50_-74_1000000.0,389.97,-50,-74,1000000,0,0.39004079
-50_-73_1000000.0,286.83,-50,-73,1000000,0.185770626,0.307900168
-50_-72_1000000.0,290.7,-50,-72,1000000,0.744444734,0.344141754
-50_-71_1000000.0,278.81,-50,-71,1000000,1.118420831,0.314406491
-50_-70_1000000.0,269.82,-50,-70,1000000,0.382187581,0.395258817
-50_-69_1000000.0,274.99,-50,-69,1000000,0.209096318,0.402192247
-50_-68_1000000.0,242.83,-50,-68,1000000,0.094347214,0.419926861
