node_id,produced,capacity
p0,1.2442031941518172,1.2442031941518172
p1,0.0,0.6285856554170905
p2,7.72673688228785,7.72673688228785
p3,3.7959525005823074,3.7959525005823074
p4,1.020737791818246,1.020737791818246
p5,8.272350516988043,8.272350516988043
p6,5.945167386818815,5.945167386818815
p7,6.257204935743715,6.257204935743715
p8,8.190366751549751,8.190366751549751
p9,4.824514893302491,4.824514893302491
p10,2.508666509072469,2.508666509072469
p11,10.606278788879912,10.606278788879912
p12,5.876048669977438,5.876048669977438
p13,1.6141107061962705,1.6141107061962705
p14,1.8366581691887873,1.8366581691887873
p15,1.4493632146534117,1.4493632146534117
p16,3.3105980453718913,3.3105980453718913
p17,1.1474983745531995,1.1474983745531995
p18,1.4642399395765722,1.4642399395765722
p19,10.397221265007232,10.397221265007232
p20,4.957861969529265,4.957861969529265
p21,6.185292197261049,6.185292197261049
p22,1.5133593772227356,1.5133593772227356
p23,0.9523473623101893,0.9523473623101893
p24,11.040892245284004,11.040892245284004
p25,0.7212668928129116,0.7212668928129116
p26,6.2334219711257814,6.2334219711257814
p27,2.274097144655657,2.274097144655657
p28,0.8661522046353912,0.8661522046353912
p30,1.3516882675640864,1.3516882675640864
p31,3.9767583896282104,3.9767583896282104
p32,1.2736675398793655,1.2736675398793655
p33,2.9605612933260836,2.9605612933260836
p34,3.1136815093855903,3.1136815093855903
p35,0.5887999157857153,0.5887999157857153
p36,7.996709231456364,7.996709231456364
p37,1.1721301270409712,1.1721301270409712
p38,1.5816874581944855,1.5816874581944855
p39,2.787470937587812,2.787470937587812
p40,2.360761489775211,2.360761489775211
p41,1.6353658105190607,1.6353658105190607
p42,1.8686080588391212,1.8686080588391212
p43,4.704304745718525,4.704304745718525
p44,0.6228036956170454,0.6228036956170454
p45,10.37228241544573,10.37228241544573
p46,1.3692989165223732,1.3692989165223732
p47,3.023329289350539,3.023329289350539
p48,2.074058389155733,2.074058389155733
p49,1.55547984177141,1.55547984177141
