node_id,produced,capacity
p0,0.0,5529.791974008076
p1,0.0,2793.714024075958
p2,0.0,34341.05281016822
p3,0.0,16870.900002588034
p4,0.0,4536.612408081093
p5,54.86724963264353,36766.00229772463
p6,0.0,26422.96616363918
p7,0.0,27809.79971441651
p8,0.0,36401.63000688778
p9,0.0,21442.28841467774
p10,0.0,11149.628929210972
p11,0.0,47139.01683946628
p12,0.0,26115.77186656639
p13,0.0,7173.825360872313
p14,0.0,8162.92519639461
p15,0.0,6441.614287348496
p16,0.0,14713.76909054174
p17,129.62344292878083,5099.992775791998
p18,0.0,6507.733064784766
p19,0.0,46209.87228892103
p20,0.0,22034.942086796735
p21,0.0,27490.18754338244
p22,0.0,6726.041676545491
p23,14.79612,4232.654943600842
p24,0.0,49070.63220126224
p25,0.0,3205.6306347240516
p26,149.64609665055139,27704.09764944792
p27,0.0,10107.09842069181
p28,0.0,3849.5653539350724
p30,0.0,6007.50341139594
p31,36.50311263535968,17674.481731680935
p32,0.0,5660.744621686069
p33,0.0,13158.050192560371
p34,0.0,13838.584486158179
p35,142.1588,2616.8885146031794
p36,0.0,35540.92991758384
p37,0.0,5209.467231293205
p38,13.34552,7029.722036419936
p39,24.58044650661403,12388.759722612498
p40,0.0,10492.273287889828
p41,0.0,7268.292491195825
p42,49.17394210246108,8304.92470595165
p43,0.0,20908.021092082334
p44,76.49526739834954,2768.0164249646464
p45,0.0,46099.032957536576
p46,0.0,6085.772962321659
p47,0.0,13437.019063780173
p48,0.0,9218.03728513659
p49,222.15674989990453,6913.243741206266
