from_id,to_id,flow
t5,t11,260.0
ps4,t4,620.0
t10,ost1,100.0
t7,t2,180.0
t3,t10,20.0
ps7,t7,620.0
ps5,t5,260.0
ps3,t3,20.0
t4,t2,90.0
ps6,os7,610.0
t6,os6,60.0
t2,ost10,270.0
t7,t6,60.0
ps2,ost9,510.0
ps5,ost7,430.0
t11,os5,640.0
ps3,os4,650.0
ps6,os6,320.0
t7,t11,380.0
ps2,ost10,270.0
ps9,ost3,470.0
t12,os10,450.0
t4,t10,80.0
ps10,ost1,530.0
ps1,os2,520.0
t4,t12,450.0
