from_id,to_id,mode,distance_km
t9,t20,ship,9017.11482145081
t9,t21,ship,7253.641958141618
t9,t22,ship,14188.860208496442
t9,t23,ship,5223.643316303946
t10,t11,ship,19871.233128626885
t10,t12,ship,799.5946730166193
t10,t13,ship,399.02663569512856
t10,t14,ship,21762.89452789908
t10,t15,ship,19318.517776046025
t10,t16,ship,15998.65442172327
t10,t17,ship,18555.34233152547
t10,t18,ship,18826.831502651454
t10,t19,ship,8205.300402883451
t10,t20,ship,17194.684531429903
t10,t21,ship,13270.59763570251
t10,t22,ship,22366.42991847554
t10,t23,ship,4337.0468614325955
t11,t12,ship,20326.55781693203
t11,t13,ship,19636.223657660878
t11,t14,ship,2016.9216181337777
t11,t15,ship,13919.175141895783
t11,t16,ship,8951.78259047659
t11,t17,ship,8788.894614526858
t11,t18,ship,7393.181993898481
t11,t19,ship,12394.804473335551
t11,t20,ship,7912.574435024711
t11,t21,ship,13146.36272415576
t11,t22,ship,2620.4570087102356
t11,t23,ship,15534.186267194282
t12,t13,ship,854.3513240002865
t12,t14,ship,22218.219216204237
t12,t15,ship,18583.217633441902
t12,t16,ship,15199.059748706648
t12,t17,ship,17755.747658508848
t12,t18,ship,18027.236829634836
t12,t19,ship,8660.625091188609
t12,t20,ship,17650.009219735064
t12,t21,ship,13725.928492525547
t12,t22,ship,22821.754606780698
t12,t23,ship,4792.371549737753
t13,t14,ship,21527.885056933083
t13,t15,ship,19132.402923542642
t13,t16,ship,16053.411072706935
t13,t17,ship,18610.098982509135
t13,t18,ship,18881.58815363512
t13,t19,ship,7970.290931917458
t13,t20,ship,16959.675060463906
t13,t21,ship,13035.588164736517
t13,t22,ship,22131.420447509543
t13,t23,ship,4102.037390466601
t14,t15,ship,15555.87324890639
t14,t16,ship,10588.480697487197
t14,t17,ship,10138.367292250947
t14,t18,ship,8664.39722674733
t14,t19,ship,14286.465872607749
t14,t20,ship,9804.235834296915
t14,t21,ship,15038.024123427958
t14,t22,ship,742.8050344899755
t14,t23,ship,17425.847666466474
t15,t16,ship,4967.3925514192015
t15,t17,ship,7524.080461221408
t15,t18,ship,7795.569632347384
t15,t19,ship,18550.565331022204
t15,t20,ship,18351.09714345216
t15,t21,ship,11565.88607837221
t15,t22,ship,16159.408639482845
t15,t23,ship,19009.7080409557
t16,t17,ship,2556.6879098022077
t16,t18,ship,2828.17708092818
t16,t19,ship,17865.93463034378
t16,t20,ship,13383.704592032947
t16,t21,ship,13601.448266212537
t16,t22,ship,11192.016088063647
t16,t23,ship,19819.716879620784
t17,t18,ship,1916.65138277183
t17,t19,ship,18094.469966444485
t17,t20,ship,13612.239928133655
t17,t21,ship,14999.623799212653
t17,t22,ship,10741.902682827396
t17,t23,ship,21233.851760303216
t18,t19,ship,16873.38270391168
t18,t20,ship,12391.152665600843
t18,t21,ship,14404.454543073476
t18,t22,ship,9267.932617323793
t18,t23,ship,20012.764497770404
t19,t20,ship,9718.255876138572
t19,t21,ship,6984.779069525211
t19,t22,ship,14890.001263184204
t19,t23,ship,3868.2535414508557
t20,t21,ship,11956.74890064282
t20,t22,ship,10407.77122487337
t20,t23,ship,12857.637669997299
t21,t22,ship,15641.559514004415
t21,t23,ship,9216.646026369057
t22,t23,ship,18029.38305704293
os1,ost10,truck,212.89370000000002
os2,t15,truck,92.0948
os3,t16,truck,0.6476000000000001
os4,t17,truck,231.52720000000002
os5,ost8,truck,182.8831
os5,t11,truck,103.5338
os6,os7,truck,98.18
os6,t6,truck,272.04740000000004
os6,ps6,truck,273.27770000000004
os7,t6,truck,387.16179999999997
os7,ps6,truck,388.39209999999997
os8,t21,truck,176.8557
os10,t12,truck,6.9991
ost1,t10,truck,287.95
ost1,t13,truck,123.1127
ost1,ps10,truck,264.8198
ost7,t22,truck,5.6014
ost8,t11,truck,212.8884
ost12,t18,truck,176.7196
t2,ps2,truck,10.6831
t3,ps3,truck,20.9392
t4,ps4,truck,11.264299999999999
t5,t14,truck,209.4083
t5,ps5,truck,208.1213
t6,ps6,truck,15.9449
t7,ps7,truck,46.5651
t9,ps9,truck,9.9146
t10,ps10,truck,35.4405
t13,ps10,truck,378.4834
t14,ps5,truck,4.629
