node_id,Location,Latitude,Longitude
p1,Chile, -23.0835, -70.4300
p2,Brazil, -21.8100, -40.9900
p3, USA, 29.8000, -95.3500
p4, Colombia, 10.8200, -74.6500
p5, Finland,60.4518, 22.2666
p6, Spain, 37.4500, -6.7500
p7, Namibia, -22.9300, 14.5700
p8, Egypt, 29.9000, 31.3000
p9, India, 23.1000, 70.3200
p10, China, 32.2000, 118.9500
