Main Port Name,Country Code,Latitude,Longitude,Facilities - Liquid Bulk,node_id
Kokkola,Finland,63.85,23.016667,Yes,111
Kotka,Finland,60.466667,26.966667,Yes,112
Canaport (St. John),Canada,45.2,-65.983333,Unknown,113
Foynes,Ireland,52.616667,-9.116667,Unknown,114
Kasim Terminal,Indonesia,-1.3,131.016667,Unknown,115
Lon Shui Terminal,China,20.833333,115.683333,Unknown,116
Hong Kong,Hong Kong,22.266667,114.2,Unknown,117
Helsinki,Finland,60.166667,24.966667,Yes,118
Murmansk,Russia,68.983333,33.05,Unknown,119
Rotterdam,Netherlands,51.9,4.483333,Unknown,120
Oulu,Finland,65.016667,25.4,Yes,121
Stockholm,Sweden,59.333333,18.05,Yes,122
Santos,Brazil,-23.95,-46.3,Unknown,123
Seattle,United States,47.6,-122.333333,Unknown,124
Samsun,Turkey,41.3,36.35,Unknown,125
Varna,Bulgaria,43.183333,27.966667,Yes,126
Oslo,Norway,59.898055556,10.745555556,Yes,127
Rostock,Germany,54.1,12.133333,Yes,128
Portland,United States,45.516667,-122.666667,Unknown,129
Rade De Cherbourg,France,49.65,-1.633333,Unknown,130
Teesport,United Kingdom,54.65,-1.133333,Unknown,131
Southampton,United Kingdom,50.9,-1.4,Unknown,132
Sevastopol,Ukraine,44.616667,33.533333,Unknown,133
Port Of Rouen,France,49.45,1.066667,Unknown,134
Tri-City Port,United States,38.716667,-90.2,Unknown,135
Vanasadam - Port of Tallinn,Estonia,59.450128,24.766676,Yes,136
Sillamae,Estonia,59.42612,27.73945,Yes,137
Trieste,Italy,45.651,13.746,Unknown,138
Cleveland,United States,41.5,-81.716667,Unknown,139
Belfast,United Kingdom,54.616667,-5.9,Yes,140
Pori,Finland,61.483333,21.8,Yes,141
Vancouver,Canada,49.283333,-123.116667,Unknown,142
Sankt-Peterburg,Russia,59.933333,30.3,Yes,143
Busan,South Korea,35.1,129.033333,Unknown,144
Inchon,South Korea,37.466667,126.616667,Unknown,145
Bangkok,Thailand,13.75,100.5,Unknown,146
Shanghai,China,31.216667,121.5,Unknown,147
Qingdao Gang,China,36.033333,120.266667,Unknown,148
Johor,Malaysia,1.433333,103.9,Unknown,149
Jurong Island,Singapore,1.283333,103.733333,Unknown,150
Auckland,New Zealand,-36.85,174.766667,Unknown,151
Rio Grande,Brazil,-32.05,-52.083333,Unknown,152
Manila,Philippines,14.583333,120.966667,Unknown,153
Paldiski Lounasadam,Estonia,59.333343,24.081111,Yes,154
Tan-Shui,Taiwan,25.183333,121.4,Yes,155
