node_id,Location,lat,lon,region,industry,type,landmass
t1,Houston,29.75,-95.283333,Gulf of Mexico,Port,transit,NorthAmerica
t2,Dalian,38.916667,121.666667,China & Hong Kong,Port,transit,Eurasia_Africa
t3,Livorno,43.542,10.29,Mediterranean,Port,transit,Eurasia_Africa
t4,Norfolk,36.85,-76.29999999999998,NA East Coast,Port,transit,NorthAmerica
t5,Toulon,43.1,5.916667,Western Europe,Port,transit,Eurasia_Africa
t6,Taranto,40.466667,17.2,Mediterranean,Port,transit,Eurasia_Africa
t7,Philadelphia,39.95,-75.13333299999998,NA East Coast,Port,transit,NorthAmerica
t8,Rio De Janeiro,-22.9,-43.166667,S Latin America,Port,transit,SouthAmerica
t9,Alger,36.766667,3.066667,Mediterranean,Port,transit,Eurasia_Africa
t10,Civitavecchia,42.102,11.771,Mediterranean,Port,transit,Eurasia_Africa
t11,Piraievs,37.933333,23.65,Mediterranean,Port,transit,Eurasia_Africa
t12,Rijeka Luka,45.333333,14.433333,Mediterranean,Port,transit,Eurasia_Africa
t13,Napoli,40.833,14.275,Mediterranean,Port,transit,Eurasia_Africa
t14,Siracusa,37.05,15.283333,Mediterranean,Port,transit,Sicily
t15,Porto Di Lido-Venezia,45.416667,12.433333,Mediterranean,Port,transit,Eurasia_Africa
t16,Casablanca,33.6,-7.616667,Mediterranean,Port,transit,Eurasia_Africa
t17,Lisboa,38.7,-9.166667,Western Europe,Port,transit,Eurasia_Africa
t18,Agadir,30.433333,-9.633333,Mediterranean,Port,transit,Eurasia_Africa
t20,Baltimore,39.266667,-76.58333299999998,NA East Coast,Port,transit,NorthAmerica
t21,Chester,39.85,-75.34999999999998,NA East Coast,Port,transit,NorthAmerica
t22,Keppel - (East Singapore),1.283333,103.85,South-east Asia,Port,transit,Eurasia_Africa
t23,Galveston,29.316667,-94.783333,Gulf of Mexico,Port,transit,NorthAmerica
t24,Oakland,37.816667,-122.333333,NA West Coast,Port,transit,NorthAmerica
t25,New Orleans,29.95,-90.04999999999998,Gulf of Mexico,Port,transit,NorthAmerica
t26,Mobile,30.683333,-88.116667,Gulf of Mexico,Port,transit,NorthAmerica
t27,San Francisco,37.816667,-122.416667,NA West Coast,Port,transit,NorthAmerica
t28,New York City,40.7,-74.016667,NA East Coast,Port,transit,NorthAmerica
t29,Brooklyn,40.666667,-74.016667,NA East Coast,Port,transit,NorthAmerica
t30,Nagasaki,32.716667,129.85,Japan & South Korea,Port,transit,Japan
t31,Kobe,34.65,135.183333,Japan & South Korea,Port,transit,Japan
t32,Cebu,10.3,123.9,South-east Asia,Port,transit,Philippines
t33,As Suways,29.966667,32.55,Red Sea,Port,transit,Eurasia_Africa
t34,Durban,-29.866667,31.066667,East Africa,Port,transit,Eurasia_Africa
t35,Oran,35.7,-0.633333,Mediterranean,Port,transit,Eurasia_Africa
t36,Izmir,38.433333,27.133333,Mediterranean,Port,transit,Eurasia_Africa
t37,Jakarta,-6.1,106.883333,South-east Asia,Port,transit,Indonesia_Java
t38,Brindisi,40.65,17.983333,Mediterranean,Port,transit,Eurasia_Africa
t39,La Spezia,44.1,9.833333,Mediterranean,Port,transit,Eurasia_Africa
t40,Genova,44.398,8.922,Mediterranean,Port,transit,Eurasia_Africa
t41,Barcelona,41.35,2.166667,Mediterranean,Port,transit,Eurasia_Africa
t42,Boston,42.35,-71.05,NA East Coast,Port,transit,NorthAmerica
t44,Montreal,45.516667,-73.54999999999998,NA East Coast,Port,transit,NorthAmerica
t45,Gioia Tauro,38.444,15.89,Mediterranean,Port,transit,Eurasia_Africa
t46,Mikawa,34.716667,137.3,Japan & South Korea,Port,transit,Japan
t47,Onomichi-Itozaki,34.383333,133.166667,Japan & South Korea,Port,transit,Japan
t48,Messina,38.2,15.566667,Mediterranean,Port,transit,Sicily
t49,Al Iskandariyh (Alexandria),31.166667,29.833333,Mediterranean,Port,transit,Eurasia_Africa
t50,Damietta,31.483333,31.75,Mediterranean,Port,transit,Eurasia_Africa
t51,Port Of Le Havre,49.483333,0.116667,Western Europe,Port,transit,Eurasia_Africa
t52,Nagoya Ko,35.066667,136.866667,Japan & South Korea,Port,transit,Japan
t53,Muqdisho,2.033333,45.35,Red Sea,Port,transit,Eurasia_Africa
t54,Lagos,6.4,3.4,West Africa,Port,transit,Eurasia_Africa
t55,Rade De Brest,48.383333,-4.5,Western Europe,Port,transit,Eurasia_Africa
t56,Lagos,37.1,-8.616667,Western Europe,Port,transit,Eurasia_Africa
t57,Wakayama-Shimotsu Ko,34.2,135.133333,Japan & South Korea,Port,transit,Japan
t58,Split,43.5,16.433333,Mediterranean,Port,transit,Eurasia_Africa
t59,Tangier-Mediterranean,35.9,-5.516667,Mediterranean,Port,transit,Eurasia_Africa
t60,Tarragona,41.1,1.233333,Mediterranean,Port,transit,Eurasia_Africa
t61,Tokyo Ko,35.666667,139.75,Japan & South Korea,Port,transit,Japan
t62,Port Klang,3.0,101.4,South-east Asia,Port,transit,Eurasia_Africa
t63,Tianjin Xin Gang,38.966667,117.833333,China & Hong Kong,Port,transit,Eurasia_Africa
t65,Wakamatsu Ko,33.9,130.816667,Japan & South Korea,Port,transit,Japan
t66,Osaka,34.65,135.433333,Japan & South Korea,Port,transit,Japan
t67,Bur Sa'id,31.266667,32.3,Mediterranean,Port,transit,Eurasia_Africa
t68,Calcutta,22.55,88.33333299999998,Middle East & India,Port,transit,Eurasia_Africa
t69,Chennai (Madras),13.1,80.29999999999998,Middle East & India,Port,transit,Eurasia_Africa
t70,Mumbai (Bombay),18.966667,72.866667,Middle East & India,Port,transit,Eurasia_Africa
t71,Kattupalli Port,13.306944444,80.35222222199998,Middle East & India,Port,transit,Eurasia_Africa
t72,Puerto La Cruz,10.25,-64.633333,N Latin America,Port,transit,SouthAmerica
t73,Bayrut,33.9,35.5,Mediterranean,Port,transit,Eurasia_Africa
t74,Baniyas,35.188333333,35.943333333,Mediterranean,Port,transit,Eurasia_Africa
t75,Puerto Guantanamo,19.983333,-75.13333299999998,N Latin America,Port,transit,Cuba
t76,Cienfuegos,22.15,-80.45,N Latin America,Port,transit,Cuba
t77,Ain Sukhna Terminal,29.583333,32.366667,Red Sea,Port,transit,Eurasia_Africa
t78,Abidjan,5.25,-4.016667,West Africa,Port,transit,Eurasia_Africa
t80,Mina Jabal Ali,25.016667,55.05,Middle East & India,Port,transit,Eurasia_Africa
t83,Nuevitas Bay,21.55,-77.266667,N Latin America,Port,transit,Cuba
t84,Los Angeles,33.75,-118.25,NA West Coast,Port,transit,NorthAmerica
t85,Wellington,-41.283333,174.783333,East Australia,Port,transit,NewZealand
t87,Cape Town,-33.916667,18.416667,East Africa,Port,transit,Eurasia_Africa
t88,Novorossiysk,44.716667,37.783333,Mediterranean,Port,transit,Eurasia_Africa
t89,Odesa,46.483333,30.733333,Mediterranean,Port,transit,Eurasia_Africa
t90,Illichivsk,46.3,30.65,Mediterranean,Port,transit,Eurasia_Africa
t91,Istanbul,41.016667,28.966667,Mediterranean,Port,transit,Eurasia_Africa
t92,Dundee,56.466667,-2.95,Western Europe,Port,transit,GreatBritain
t93,Antwerpen,51.216667,4.4,Western Europe,Port,transit,Eurasia_Africa
t94,Amsterdam,52.366667,4.9,Western Europe,Port,transit,Eurasia_Africa
t95,Bremen,53.133333,8.766667,Western Europe,Port,transit,Eurasia_Africa
t96,Bremerhaven,53.533333,8.583333,Western Europe,Port,transit,Eurasia_Africa
t97,Hamburg,53.55,9.933333,Western Europe,Port,transit,Eurasia_Africa
t98,Malmo,55.623333333,12.984722222,Nordics,Port,transit,Eurasia_Africa
t99,Goteborg,57.709722222,11.954722222,Nordics,Port,transit,Eurasia_Africa
t100,Bordeaux,44.866667,-0.566667,Western Europe,Port,transit,Eurasia_Africa
t101,Manchester,53.483333,-2.266667,Western Europe,Port,transit,GreatBritain
t102,Liverpool,53.416667,-3.0,Western Europe,Port,transit,GreatBritain
t103,Halifax,44.65,-63.583333,NA East Coast,Port,transit,NorthAmerica
t104,Kiel,54.316667,10.133333,Western Europe,Port,transit,Eurasia_Africa
t105,Gdansk,54.35,18.666667,Nordics,Port,transit,Eurasia_Africa
t106,Buenos Aires,-34.6,-58.366667,S Latin America,Port,transit,SouthAmerica
t107,Detroit,42.333333,-83.033333,NA East Coast,Port,transit,NorthAmerica
t108,Buffalo,42.883333,-78.88333299999998,NA East Coast,Port,transit,NorthAmerica
t109,London,51.5,-0.0833329999999,Western Europe,Port,transit,GreatBritain
t110,Cilacap,-7.733333,109.0,South-east Asia,Port,transit,Indonesia_Java
t111,Kokkola,63.85,23.016667,Nordics,Port,transit,Eurasia_Africa
t112,Kotka,60.466667,26.966667,Nordics,Port,transit,Eurasia_Africa
t114,Foynes,52.616667,-9.116667,Western Europe,Port,transit,Ireland
t115,Kasim Terminal,-1.3,131.016667,South-east Asia,Port,transit,Indonesia_Papua
t117,Hong Kong,22.266667,114.2,China & Hong Kong,Port,transit,Eurasia_Africa
t118,Helsinki,60.166667,24.966667,Nordics,Port,transit,Eurasia_Africa
t119,Murmansk,68.983333,33.05,Nordics,Port,transit,Eurasia_Africa
t120,Rotterdam,51.9,4.483333,Western Europe,Port,transit,Eurasia_Africa
t121,Oulu,65.016667,25.4,Nordics,Port,transit,Eurasia_Africa
t122,Stockholm,59.333333,18.05,Nordics,Port,transit,Eurasia_Africa
t123,Santos,-23.95,-46.3,S Latin America,Port,transit,SouthAmerica
t124,Seattle,47.6,-122.333333,NA West Coast,Port,transit,NorthAmerica
t125,Samsun,41.3,36.35,Mediterranean,Port,transit,Eurasia_Africa
t126,Varna,43.183333,27.966667,Mediterranean,Port,transit,Eurasia_Africa
t127,Oslo,59.898055556,10.745555556,Nordics,Port,transit,Eurasia_Africa
t128,Rostock,54.1,12.133333,Western Europe,Port,transit,Eurasia_Africa
t129,Portland,45.516667,-122.666667,NA West Coast,Port,transit,NorthAmerica
t130,Rade De Cherbourg,49.65,-1.633333,Western Europe,Port,transit,Eurasia_Africa
t131,Teesport,54.65,-1.133333,Western Europe,Port,transit,GreatBritain
t132,Southampton,50.9,-1.4,Western Europe,Port,transit,GreatBritain
t133,Sevastopol,44.616667,33.533333,Mediterranean,Port,transit,Eurasia_Africa
t134,Port Of Rouen,49.45,1.066667,Western Europe,Port,transit,Eurasia_Africa
t135,Tri-City Port,38.716667,-90.2,NA East Coast,Port,transit,NorthAmerica
