node_id,Location,lat,lon,region,industry,type
t63,Tianjin Xin Gang,38.966667,117.833333,China & Hong Kong,Port,transit
t65,Wakamatsu Ko,33.9,130.816667,Japan & South Korea,Port,transit
t66,Osaka,34.65,135.433333,Japan & South Korea,Port,transit
t67,Bur Sa'id,31.266667,32.3,Mediterranean,Port,transit
t68,Calcutta,22.55,88.33333299999998,Middle East & India,Port,transit
t69,Chennai (Madras),13.1,80.29999999999998,Middle East & India,Port,transit
t70,Mumbai (Bombay),18.966667,72.866667,Middle East & India,Port,transit
t71,Kattupalli Port,13.306944444,80.35222222199998,Middle East & India,Port,transit
t72,Puerto La Cruz,10.25,-64.633333,N Latin America,Port,transit
t73,Bayrut,33.9,35.5,Mediterranean,Port,transit
t74,Baniyas,35.188333333,35.943333333,Mediterranean,Port,transit
t75,Puerto Guantanamo,19.983333,-75.13333299999998,N Latin America,Port,transit
t76,Cienfuegos,22.15,-80.45,N Latin America,Port,transit
t77,Ain Sukhna Terminal,29.583333,32.366667,Red Sea,Port,transit
t78,Abidjan,5.25,-4.016667,West Africa,Port,transit
t80,Mina Jabal Ali,25.016667,55.05,Middle East & India,Port,transit
t83,Nuevitas Bay,21.55,-77.266667,N Latin America,Port,transit
t84,Los Angeles,33.75,-118.25,NA West Coast,Port,transit
t85,Wellington,-41.283333,174.783333,East Australia,Port,transit
t87,Cape Town,-33.916667,18.416667,East Africa,Port,transit
t88,Novorossiysk,44.716667,37.783333,Mediterranean,Port,transit
t89,Odesa,46.483333,30.733333,Mediterranean,Port,transit
t90,Illichivsk,46.3,30.65,Mediterranean,Port,transit
t91,Istanbul,41.016667,28.966667,Mediterranean,Port,transit
t92,Dundee,56.466667,-2.95,Western Europe,Port,transit
t93,Antwerpen,51.216667,4.4,Western Europe,Port,transit
t94,Amsterdam,52.366667,4.9,Western Europe,Port,transit
t95,Bremen,53.133333,8.766667,Western Europe,Port,transit
t96,Bremerhaven,53.533333,8.583333,Western Europe,Port,transit
t97,Hamburg,53.55,9.933333,Western Europe,Port,transit
t98,Malmo,55.623333333,12.984722222,Nordics,Port,transit
t99,Goteborg,57.709722222,11.954722222,Nordics,Port,transit
t100,Bordeaux,44.866667,-0.566667,Western Europe,Port,transit
t101,Manchester,53.483333,-2.266667,Western Europe,Port,transit
t102,Liverpool,53.416667,-3.0,Western Europe,Port,transit
t103,Halifax,44.65,-63.583333,NA East Coast,Port,transit
t104,Kiel,54.316667,10.133333,Western Europe,Port,transit
t105,Gdansk,54.35,18.666667,Nordics,Port,transit
t106,Buenos Aires,-34.6,-58.366667,S Latin America,Port,transit
t107,Detroit,42.333333,-83.033333,NA East Coast,Port,transit
t108,Buffalo,42.883333,-78.88333299999998,NA East Coast,Port,transit
t109,London,51.5,-0.0833329999999,Western Europe,Port,transit
t110,Cilacap,-7.733333,109.0,South-east Asia,Port,transit
t111,Kokkola,63.85,23.016667,Nordics,Port,transit
t112,Kotka,60.466667,26.966667,Nordics,Port,transit
t114,Foynes,52.616667,-9.116667,Western Europe,Port,transit
t115,Kasim Terminal,-1.3,131.016667,South-east Asia,Port,transit
t117,Hong Kong,22.266667,114.2,China & Hong Kong,Port,transit
t118,Helsinki,60.166667,24.966667,Nordics,Port,transit
t119,Murmansk,68.983333,33.05,Nordics,Port,transit
t120,Rotterdam,51.9,4.483333,Western Europe,Port,transit
t121,Oulu,65.016667,25.4,Nordics,Port,transit
t122,Stockholm,59.333333,18.05,Nordics,Port,transit
t123,Santos,-23.95,-46.3,S Latin America,Port,transit
t124,Seattle,47.6,-122.333333,NA West Coast,Port,transit
t125,Samsun,41.3,36.35,Mediterranean,Port,transit
t126,Varna,43.183333,27.966667,Mediterranean,Port,transit
t127,Oslo,59.898055556,10.745555556,Nordics,Port,transit
t128,Rostock,54.1,12.133333,Western Europe,Port,transit
t129,Portland,45.516667,-122.666667,NA West Coast,Port,transit
