Index,LCOA,Latitude,Longitude,Production,Max_capacity,Electricity_Cost_Frac,X,Y,Z,cluster
42_97_1000000.0,229.58,42,97,1000000,570.68302855,0.29611956,-0.09056657193586287,0.7376055366397496,0.6691306063588582,0
19_-98_1000000.0,209.08,19,-98,1000000,64.742739099,0.281799406,-0.1315907521815009,-0.936316853818016,0.3255681544571567,1
17_25_1000000.0,193.74,17,25,1000000,2813.013030481,0.268090798,0.8667064471094822,0.4041518536594618,0.29237170472273677,2
-20_124_1000000.0,201.2,-20,124,1000000,933.989304061,0.279250759,-0.5254694449873074,0.7790404892842349,-0.3420201433256687,3
51_-124_1000000.0,285.51,51,-124,1000000,50.560184423,0.337888115,-0.35191149668450433,-0.5217302493553468,0.7771459614569708,4
-28_-69_1000000.0,186.8,-28,-69,1000000,472.243802248,0.245292451,0.31642011840881235,-0.8243025903159147,-0.4694715627858908,5
71_55_1000000.0,260.09,71,55,1000000,26.755408367,0.434239407,0.18673822182292293,0.26668981927897417,0.9455185755993167,6
23_1_1000000.0,200.06,23,1,1000000,4083.198397104,0.276518717,0.9203646561046942,0.016065024829944086,0.39073112848927377,7
33_80_1000000.0,195.38,33,80,1000000,874.660544504,0.260789243,0.14563361578661244,0.8259292775358054,0.5446390350150271,8
61_31_1000000.0,259.1,61,31,1000000,13.81522065,0.435896458,0.415562953540969,0.2496954135095479,0.8746197071393957,9
17_10_1000000.0,194.71,17,10,1000000,3156.22077625,0.27110128,0.9417763379148448,0.16606057816719963,0.29237170472273677,10
15_32_1000000.0,199.35,15,32,1000000,635.647117748,0.288706188,0.819151558012767,0.5118627031709536,0.25881904510252074,11
70_87_1000000.0,263.51,70,87,1000000,46.421842982,0.428139923,0.017899951255297628,0.3415514166060053,0.9396926207859083,12
63_-99_1000000.0,264.54,63,-99,1000000,40.91388679,0.431013048,-0.07101976096010305,-0.4484011233337103,0.8910065241883679,13
-11_-56_1000000.0,222.28,-11,-56,1000000,33.223533027,0.314465007,0.5489189548379108,-0.813805817319494,-0.1908089953765448,14
-19_16_1000000.0,199.85,-19,16,1000000,586.788181459,0.272257922,0.9088907895217829,0.2606202400540511,-0.3255681544571567,15
