Index,LCOA,Latitude,Longitude,Production,Max_capacity,Electricity_Cost_Frac,capacity_share_percent
19_-98_1000000.0,209.08,19,-98,1000000,54.531808757,0.281799406,0.23008921631525464
41_97_1000000.0,227.9,41,97,1000000,425.265961145,0.295196691,1.7943492789948237
19_27_1000000.0,194.67,19,27,1000000,1102.920495592,0.273184449,4.653616270452797
-16_137_1000000.0,206.81,-16,137,1000000,322.161749908,0.276856796,1.3593157141256123
-22_-53_1000000.0,229.7,-22,-53,1000000,117.932859705,0.305013022,0.4976009394490718
-16_26_1000000.0,207.86,-16,26,1000000,161.604940896,0.282995008,0.6818690788183437
19_4_1000000.0,197.65,19,4,1000000,5630.896654785,0.276766809,23.758768102210766
38_-106_1000000.0,213.49,38,-106,1000000,135.472346906,0.275146266,0.5716063127649074
30_55_1000000.0,207.94,30,55,1000000,715.338741724,0.2798115,3.0182701479177987
-11_-43_1000000.0,211.0,-11,-43,1000000,204.571537884,0.289134148,0.8631605278651949
30_85_1000000.0,195.38,30,85,1000000,717.382356205,0.259806342,3.02689288875662
17_26_1000000.0,193.85,17,26,1000000,604.428702106,0.269622178,2.5503009996558004
54_159_1000000.0,337.83,54,159,1000000,13.428426141000001,0.354381428,0.056659335487993574
-19_13_1000000.0,200.0,-19,13,1000000,266.889570681,0.272777215,1.126102609842798
-37_-70_1000000.0,215.61,-37,-70,1000000,130.157477931,0.279178088,0.5491809785397879
-20_-68_1000000.0,188.31,-20,-68,1000000,316.746330072,0.256231475,1.336466119834035
17_121_1000000.0,254.54,17,121,1000000,26.324136785,0.333973158,0.11107095365250873
23_-103_1000000.0,204.35,23,-103,1000000,335.145057381,0.273668726,1.4140969346597487
-28_141_1000000.0,212.67,-28,141,1000000,263.514570635,0.278290179,1.111862276845437
28_40_1000000.0,206.24,28,40,1000000,558.651949214,0.278381848,2.3571524971861235
-20_124_1000000.0,201.2,-20,124,1000000,396.87513770199996,0.279250759,1.674558234731945
20_-12_1000000.0,196.72,20,-12,1000000,978.900411201,0.273445591,4.130331151632785
-20_122_1000000.0,203.38,-20,122,1000000,432.349848422,0.28276502,1.8242387345104785
39_68_1000000.0,230.71,39,68,1000000,376.788555565,0.289586403,1.589805756358283
18_12_1000000.0,194.75,18,12,1000000,504.532982131,0.268697751,2.128805207636149
-27_16_1000000.0,202.38,-27,16,1000000,353.815384083,0.265714326,1.4928737245211618
28_-8_1000000.0,202.87,28,-8,1000000,552.280020394,0.27988767,2.3302670491874418
27_-82_1000000.0,241.79,27,-82,1000000,52.254770747,0.319968617,0.22048157807285554
39_102_1000000.0,229.78,39,102,1000000,340.513438664,0.299819978,1.436748056462643
2_45_1000000.0,203.68,2,45,1000000,404.782247371,0.289273436,1.707921160124099
12_-72_1000000.0,202.15,12,-72,1000000,108.931598694,0.310299224,0.45962139798366625
38_73_1000000.0,205.75,38,73,1000000,593.4537297749999,0.258625554,2.503993663803911
12_106_1000000.0,229.98,12,106,1000000,52.510273895,0.315151116,0.22155963729057498
3_36_1000000.0,199.73,3,36,1000000,169.655195901,0.279525703,0.7158359856101644
-9_17_1000000.0,215.01,-9,17,1000000,171.272522675,0.29514439,0.7226600660585792
19_24_1000000.0,194.67,19,24,1000000,1451.328182594,0.267065433,6.123672985749451
17_25_1000000.0,193.74,17,25,1000000,405.604167166,0.268090798,1.7113891338776974
30_-115_1000000.0,210.1,30,-115,1000000,261.157620386,0.273992797,1.101917460268693
8_81_1000000.0,233.05,8,81,1000000,16.345240425,0.308245406,0.06896641878562124
30_90_1000000.0,197.37,30,90,1000000,417.526458629,0.262205919,1.7616935481623526
6_102_1000000.0,230.07,6,102,1000000,31.824666234,0.310586643,0.13427965585930887
-23_132_1000000.0,204.58,-23,132,1000000,357.688494577,0.27381807,1.509215763756243
17_46_1000000.0,197.97,17,46,1000000,1421.764048929,0.278458181,5.998931325770199
-21_44_1000000.0,212.61,-21,44,1000000,56.49984556,0.295944319,0.23839306788378933
45_119_1000000.0,244.95,45,119,1000000,93.464418093,0.325876552,0.3943598278246943
-13_-46_1000000.0,215.03,-13,-46,1000000,203.396413146,0.296102502,0.8582022560564612
-28_-69_1000000.0,186.8,-28,-69,1000000,312.185293233,0.245292451,1.317221473162824
27_8_1000000.0,203.07,27,8,1000000,674.1983637339999,0.274999085,2.8446841703681844
39_73_1000000.0,205.5,39,73,1000000,239.192295702,0.25464323,1.0092378947480842
16_-5_1000000.0,201.95,16,-5,1000000,165.83149671500001,0.279804678,0.699702430366243
