scenario_id,track,cap_factor,cost_factor,co2_tax_region_name,co2_tax_region,co2_tax_shipping,fossil_price_factor,demand_factor_Steel,demand_factor_Fertiliser,demand_factor_Shipping
Q1-S1,Base,low,high,none,0,0,1.0,1.0,1.0,1.0
Q1-S2,Base,low,medium,none,0,0,1.0,1.0,1.0,1.0
Q1-S3,Base,low,low,none,0,0,1.0,1.0,1.0,1.0
Q1-S4,Base,medium,high,none,0,0,1.0,1.0,1.0,1.0
Q1-S5,Base,medium,medium,none,0,0,1.0,1.0,1.0,1.0
Q1-S6,Base,medium,low,none,0,0,1.0,1.0,1.0,1.0
Q1-S7,Base,high,high,none,0,0,1.0,1.0,1.0,1.0
Q1-S8,Base,high,medium,none,0,0,1.0,1.0,1.0,1.0
Q1-S9,Base,high,low,none,0,0,1.0,1.0,1.0,1.0
