from_id,to_id,flow
t26,ost6,1.0e6
t8,t26,500000.0
t6,t26,250000.0
t25,ost2,500000.0
ps4,t4,250000.0
ps7,t7,250000.0
t2,t24,500000.0
ps9,t9,500000.0
t9,t25,500000.0
ps3,t3,500000.0
ps5,t14,250000.0
t3,t18,500000.0
t18,ost10,750000.0
ps8,t8,500000.0
t1,t24,250000.0
ps1,t1,250000.0
t22,ost7,250000.0
t14,t22,250000.0
t7,t26,250000.0
t24,ost9,750000.0
ps6,t6,250000.0
t4,t18,250000.0
ps10,ost1,500000.0
ps2,t2,500000.0
