node_id,demand,delivered,unmet,served_pct
oft_steel1,104.93326332329876,1.55547984177141,103.37778348152735,1.4823515370707434
oft_steel2,104.93326332329876,0.0,104.93326332329876,0.0
oft_steel3,104.93326332329876,0.0,104.93326332329876,0.0
oft_steel4,24.690179605482058,1.1474983745531995,23.54268123092886,4.647590227729311
oft_steel5,24.690179605482058,11.137881798836425,13.552297806645633,45.11057423155981
oft_steel6,24.690179605482058,0.0,24.690179605482058,0.0
oft_steel7,24.690179605482058,0.0,24.690179605482058,0.0
oft_steel8,33.94899695753783,33.94899695753783,0.0,100.0
oft_steel9,33.94899695753783,33.94899695753783,0.0,100.0
oft_steel10,15.431362253426286,0.0,15.431362253426286,0.0
oft_steel11,15.431362253426286,0.0,15.431362253426286,0.0
oft_steel12,12.345089802741029,0.0,12.345089802741029,0.0
oft_f1,12.290223253307015,0.0,12.290223253307015,0.0
oft_f2,12.290223253307015,2.787470937587812,9.502752315719203,22.68039302571471
oft_f3,12.290223253307015,8.531302080399373,3.758921172907643,69.41535482769848
oft_f4,9.068514245158575,9.068514245158575,0.0,100.0
oft_f5,9.068514245158575,9.068514245158575,0.0,100.0
oft_f6,9.068514245158575,9.068514245158575,0.0,100.0
oft_f7,5.966127792867484,5.966127792867484,0.0,100.0
oft_f8,5.966127792867484,5.966127792867484,0.0,100.0
oft_f9,10.73903002716147,0.0,10.73903002716147,0.0
oft_f10,3.9376443432925394,0.7246419696434381,3.2130023736491014,18.4029309523042
oft_f11,3.9376443432925394,3.9376443432925394,0.0,100.0
oft_f12,3.9376443432925394,0.0,3.9376443432925394,0.0
oft_f13,7.15935335144098,0.0,7.15935335144098,0.0
